,Data_Completeness_Score_Name,People_Positive_New_Cases_Count,People_Positive_Cases_Count,People_Negative_New_Count,People_Negative_Cases_Count,People_Test_Results_New_Count,People_Pending_Cases_Count,Total_Tested_Positive_per_100k,New_Cases_per_100k_Prevalence,People_Positive_Negative_Test_Results_Count,People_Hospitalized_New_Count,People_Hospitalized_Currently_Count,People_Hospitalized_Cumulative_Count,Hospitalizations_per_100k_Incidence,People_In_Intensive_Care_Currently_Count,People_In_Intensive_Care_Cumulative_Count,People_Intubated_Currently_Count,People_Intubated_Cumulative_Count,People_Death_New_Count,People_Death_Count,Deaths_per_100k,Death_Rate_Prevalence,Death_Rate_Incidence,People_Recovered_Count,Recovery_Rate,Report_Date,Reported_Date_Time,Day,Month,Province_State_Code,Pop
6032,A,58,606.0,1399,12277.0,1457,,14.089451743627777,1.3484953814033187,12883,11,132.0,140.0,3.0689894887110007,,,39.0,,3,16.0,0.3719987259043638,5.172413793103448,2.6402640264026402,,,3/30/2020,2020-03-30 11:00:00,90.0,3.0,OR,4301090.0
6033,A,693,4087.0,3716,33777.0,4409,,31.877637295353683,5.4052367618497925,37864,33,,386.0,,,,,,11,49.0,0.3821884579085712,1.5873015873015872,1.1989234157083435,,,3/30/2020,2020-03-30 12:00:00,90.0,3.0,PA,12820900.0
6034,A,47,174.0,90,931.0,137,794.0,5.7384834573373436,1.550050129280777,1105,0,,,,,,,,1,6.0,0.19787873990818425,2.127659574468085,3.4482758620689653,,,3/30/2020,2020-03-30 07:00:00,90.0,3.0,PR,3032160.0
6035,B,78,495.0,190,3246.0,268,,46.86789880321163,7.385244659900016,3741,0,41.0,,3.8819875776397517,9.0,,6.0,,1,4.0,0.37873049537948794,1.282051282051282,0.8080808080808081,,,3/30/2020,2020-03-30 03:00:00,90.0,3.0,RI,1056160.0
6036,B,151,925.0,1145,4160.0,1296,,17.75397785071304,2.8982169248191014,5085,0,,102.0,,,,,,2,18.0,0.34548281223009153,1.3245033112582782,1.9459459459459458,,,3/30/2020,2020-03-30 16:00:00,90.0,3.0,SC,5210100.0
6037,A,11,101.0,351,3478.0,362,0.0,11.184604668520432,1.2181252609279678,3579,0,,,,,,,,0,1.0,0.11073866008436072,0.0,0.9900990099009901,34.0,33.663366336633665,3/30/2020,2020-03-30 12:30:00,90.0,3.0,SD,903027.0
6038,A,297,1834.0,2433,21470.0,2730,,26.589035574795798,4.305857996572711,23304,15,,148.0,,,,,,6,13.0,0.18847189883988297,2.0202020202020203,0.7088331515812432,,,3/30/2020,2020-03-30 15:00:00,90.0,3.0,TN,6897580.0
6039,A,325,2877.0,9795,33003.0,10120,,9.761708451664784,1.1027303603722818,35880,0,,,,,,,,0,34.0,0.11536256077740793,0.0,1.1817865832464372,38.0,1.3208202989224886,3/30/2020,2020-03-30 12:45:00,90.0,3.0,TX,29472300.0
6040,A,87,806.0,1923,15197.0,2010,,24.55729833156618,2.6507257504296007,16003,0,,,,,,,,2,4.0,0.12187244829561382,2.2988505747126435,0.49627791563275436,,,3/30/2020,2020-03-30 15:00:00,90.0,3.0,UT,3282120.0
6041,A,130,1020.0,1299,11018.0,1429,,11.824428109215983,1.5070349550961546,12038,24,,136.0,,,,,,3,25.0,0.2898144144415682,2.307692307692308,2.450980392156863,,,3/30/2020,2020-03-30 00:00:00,90.0,3.0,VA,8626210.0
6042,,7,30.0,3,126.0,10,24.0,,6.703375628441465,156,0,,,,,,,,0,,,0.0,,,,3/30/2020,2020-03-30 11:00:00,90.0,3.0,VI,104425.0
6043,A,37,293.0,235,3718.0,272,,46.6515195180086,5.891147515926001,4011,0,,18.0,,,,,,0,12.0,1.910642437597622,0.0,4.09556313993174,,,3/30/2020,2020-03-30 00:00:00,90.0,3.0,VT,628061.0
6044,A,405,8120.0,4745,72842.0,5150,,104.1412832976363,5.194238883687524,80962,0,,,,,,,,11,248.0,3.180669736183966,2.7160493827160495,3.054187192118227,,,3/30/2020,2020-03-30 00:00:00,90.0,3.0,WA,7797100.0
6045,A,146,1422.0,-694,15856.0,-548,,24.300422950399454,2.4949801341479043,17278,0,,,,,,,,1,14.0,0.23924467039774427,0.684931506849315,0.9845288326300985,,,3/30/2020,2020-03-30 16:00:00,90.0,3.0,WI,5851750.0
6046,B,13,126.0,279,2984.0,292,0.0,7.086335183654186,0.7311298205357495,3110,0,,1.0,,,,,,1,1.0,0.05624075542582688,7.6923076923076925,0.7936507936507936,,,3/30/2020,2020-03-30 14:10:00,90.0,3.0,WV,1778070.0
6047,A,8,94.0,286,1840.0,294,,16.577752303690314,1.410872536484282,1934,2,,17.0,,,,,,0,0.0,0.0,0.0,0.0,24.0,25.53191489361702,3/30/2020,2020-03-30 00:00:00,90.0,3.0,WY,567025.0
6048,A,17,102.0,396,3232.0,413,,13.896419900763215,2.3160699834605354,3334,1,,6.0,,,,,,0,2.0,0.2724788215835924,0.0,1.9607843137254901,,,3/29/2020,2020-03-28 19:00:00,88.0,3.0,AK,734002.0
6049,B,110,806.0,0,4184.0,110,,16.42009363120388,2.240955706491845,4990,0,,,,,,,,1,4.0,0.08148929841788527,0.9090909090909091,0.49627791563275436,,,3/29/2020,2020-03-29 00:00:00,89.0,3.0,AL,4908620.0
