PEOPLE_NEGATIVE_NEW_COUNT,PROVINCE_STATE_CODE,PEOPLE_POSITIVE_CASES_COUNT,DATA_COMPLETENESS_SCORE_NAME,REPORT_DATE,PEOPLE_IN_INTENSIVE_CARE_CURRENTLY_COUNT,PEOPLE_PENDING_CASES_COUNT,PEOPLE_RECOVERED_COUNT,REPORTED_DATE_TIME,PEOPLE_POSITIVE_NEGATIVE_TEST_RESULTS_COUNT,DATA_SOURCE_NAME,PEOPLE_DEATH_NEW_COUNT,PEOPLE_INTUBATED_CUMULATIVE_COUNT,PEOPLE_TEST_RESULTS_NEW_COUNT,PEOPLE_IN_INTENSIVE_CARE_CUMULATIVE_COUNT,PEOPLE_NEGATIVE_CASES_COUNT,PROVINCE_STATE_FIPS_NUMBER,PEOPLE_HOSPITALIZED_NEW_COUNT,PEOPLE_HOSPITALIZED_CUMULATIVE_COUNT,PEOPLE_INTUBATED_CURRENTLY_COUNT,PEOPLE_HOSPITALIZED_CURRENTLY_COUNT,PEOPLE_POSITIVE_NEW_CASES_COUNT,PEOPLE_DEATH_COUNT
5883,NV,29619,A+,7/14/2020,247,,800,7/14/2020 12:00:00 PM,360180,COVID Tracking Project Historical,19,,6987,,330561,32,0,,121,983,1104,612
59133,NY,403175,A,7/14/2020,167,,71692,7/13/2020 11:59:00 PM,4784927,COVID Tracking Project Historical,5,,60045,,4381752,36,0,89995,101,820,912,24994
17856,OH,67995,B,7/14/2020,314,,46282,7/14/2020 2:00:00 PM,1043749,COVID Tracking Project Historical,5,,18998,2223,975754,39,134,9049,156,1017,1142,3069
19519,OK,21738,A+,7/14/2020,234,,16635,7/13/2020 12:00:00 AM,441294,COVID Tracking Project Historical,4,,20512,,419556,40,53,2116,,546,993,428
4377,OR,12805,A+,7/14/2020,64,,3129,7/14/2020 3:01:00 AM,305456,COVID Tracking Project Historical,7,,4744,,292651,41,20,1254,35,235,367,244
14880,PA,96671,A+,7/14/2020,,,74436,7/14/2020 12:00:00 AM,947283,COVID Tracking Project Historical,20,,15809,,850612,42,0,,95,678,929,6931
0,PR,10123,B,7/14/2020,14,,,7/14/2020 6:30:00 AM,202809,COVID Tracking Project Historical,2,,113,,192686,72,0,,9,206,113,169
1314,RI,17588,A+,7/14/2020,5,,1692,7/14/2020 12:00:00 PM,174658,COVID Tracking Project Historical,1,,1415,,157070,44,4,2070,3,69,101,985
8159,SC,60389,A,7/14/2020,,,23849,7/13/2020 11:59:00 PM,517481,COVID Tracking Project Historical,21,,10380,,457092,45,346,3744,,1550,2221,993
738,SD,7572,B,7/14/2020,,,6599,7/14/2020 11:45:00 AM,92164,COVID Tracking Project Historical,0,,786,,84592,46,2,744,,62,48,109
16413,TN,66788,A,7/14/2020,,,38272,7/14/2020 3:00:00 PM,1071888,COVID Tracking Project Historical,18,,17927,,1005100,47,94,3378,,1222,1514,767
47810,TX,275058,B,7/14/2020,,,142398,7/14/2020 5:25:00 PM,2598680,COVID Tracking Project Historical,87,,58555,,2323622,48,0,,,10569,10745,3322
5738,UT,30478,A+,7/14/2020,80,,18111,7/14/2020 11:21:00 AM,424521,COVID Tracking Project Historical,10,210,6186,505,394043,49,38,1888,,231,448,226
16034,VA,72443,A+,7/14/2020,249,420,9423,7/13/2020 5:00:00 PM,830850,COVID Tracking Project Historical,9,,16835,,758407,51,91,10550,112,1127,801,1977
0,VI,206,C,7/14/2020,,6,96,7/13/2020 6:12:00 AM,4290,COVID Tracking Project Historical,0,,0,,4084,78,0,,,,0,6
1039,VT,1305,B,7/14/2020,,,1099,7/14/2020 12:00:00 AM,77624,COVID Tracking Project Historical,0,,1043,,76319,50,0,,,15,4,56
21168,WA,41757,B,7/14/2020,,,,7/13/2020 2:59:00 AM,708274,COVID Tracking Project Historical,-39,,22269,,666517,53,27,4778,39,332,1101,1399
13716,WI,41349,A+,7/14/2020,83,147,29275,7/14/2020 4:00:00 PM,714544,COVID Tracking Project Historical,6,,14683,804,673195,55,42,3892,,293,967,833
5639,WV,4407,B,7/14/2020,24,,2982,7/14/2020 5:00:00 PM,214012,COVID Tracking Project Historical,1,,5787,,209605,54,0,,7,59,148,97
0,WY,1951,B,7/14/2020,,,1462,7/14/2020 6:08:00 PM,40028,COVID Tracking Project Historical,1,,89,,38077,56,4,128,,14,89,22
1055,AK,1539,A,7/13/2020,,,620,7/13/2020 12:00:00 AM,146590,COVID Tracking Project Historical,0,,1115,,145051,02,0,,0,22,60,17
6140,AL,55545,B,7/13/2020,,,25783,7/13/2020 11:00:00 AM,519604,COVID Tracking Project Historical,3,505,8098,919,464059,01,0,6745,,1335,1958,1124
0,AR,28939,A,7/13/2020,,,22106,7/13/2020 2:36:00 PM,382974,COVID Tracking Project Historical,2,269,572,,354035,05,14,1836,89,439,572,323
0,AS,0,C,7/13/2020,,,,7/1/2020 12:00:00 AM,816,COVID Tracking Project Historical,0,,0,,816,60,0,,,,0,0
4897,AZ,123824,A+,7/13/2020,936,,15254,7/13/2020 12:00:00 AM,702426,COVID Tracking Project Historical,8,,6254,,578602,04,44,5839,671,3373,1357,2245
